#worker	chunk	tc(ms)	std(ms)	min(ms)	max(ms)
1	1000	252162.66666666666	1967.223141610755	249488	254163
4	1000	69465.0	382.84809868493096	68962	69890
8	1000	54303.333333333336	1665.53781771001	52905	56644
12	1000	56375.666666666664	1890.7117413526814	54961	59048
16	1000	59105.666666666664	2767.898159655124	55227	61502
20	1000	59736.333333333336	2654.0161181793064	57051	63350
24	1000	60718.666666666664	2866.959519925053	56770	63490
28	1000	59288.333333333336	3214.276521327242	56608	63808
32	1000	60474.0	2708.086163080242	56748	63104
36	1000	59776.333333333336	3849.99500721177	56370	65158
40	1000	62487.666666666664	3133.5744588072084	58061	64881
44	1000	58936.333333333336	2865.228825455695	56569	62968
48	1000	61160.333333333336	2394.1463800045494	57885	63541
