#worker	chunk	tc(ms)	std(ms)	min(ms)	max(ms)
1	1000	1076678.6666666667	4832.437227275234	1069887	1080733
4	1000	158347.66666666666	2221.465632314746	155442	160835
8	1000	81597.66666666667	2954.1097173636294	78247	85434
12	1000	60170.333333333336	1141.1366652986349	58701	61483
16	1000	59046.666666666664	3563.6868861085736	56326	64081
20	1000	59681.333333333336	2828.5332280569414	55715	62114
24	1000	58868.333333333336	3048.7164876751367	56465	63170
28	1000	62310.666666666664	3249.2748250784957	57758	65127
32	1000	61034.666666666664	3021.5486463438283	58293	65244
36	1000	61519.0	1009.1484859358739	60344	62808
40	1000	61139.0	1172.383327528444	59991	62749
44	1000	62262.0	797.9490376375339	61172	63060
48	1000	61698.0	1317.0704865976866	60560	63544
