#worker	chunk	tc(ms)	std(ms)	min(ms)	max(ms)
1	1000	810127.6666666666	7105.352036004659	803787	820049
4	1000	124400.0	1237.6205665173259	122901	125932
8	1000	68465.0	1113.6699092040992	67016	69724
12	1000	58618.333333333336	2330.397152609162	55328	60426
16	1000	57584.666666666664	1969.993965021777	54914	59607
20	1000	58113.333333333336	1999.7323709825662	56600	60939
24	1000	59461.0	2257.8229927668526	56444	61875
28	1000	59595.666666666664	2205.8522666357835	57223	62536
32	1000	59665.0	2646.296027784244	56415	62897
36	1000	58948.333333333336	1768.8407377589301	56464	60444
40	1000	58394.666666666664	2333.792954731751	56059	61582
44	1000	61095.333333333336	2796.585576893525	57223	63728
48	1000	60191.0	2244.2193891566544	57187	62580
