#worker	chunk	tc(ms)	std(ms)	min(ms)	max(ms)
1	1000	2223405.6666666665	3890.034304333175	2217936	2226651
4	1000	321571.3333333333	519.7193687195256	320861	322090
8	1000	163155.0	301.63885691336253	162818	163550
12	1000	107332.66666666667	63.96526835365857	107264	107418
16	1000	77648.0	85.31119504496465	77564	77765
20	1000	70438.0	799.4398038626798	69398	71342
24	1000	60915.0	2903.570560534047	58654	65014
28	1000	68165.66666666667	2890.1544749180603	64103	70585
32	1000	68758.33333333333	425.11671599952666	68161	69116
36	1000	73780.33333333333	145.85456988231653	73575	73900
40	1000	75778.66666666667	1809.1777751846892	74408	78335
44	1000	75506.0	1142.5990839601907	74616	77119
48	1000	75746.66666666667	768.3030362790164	74689	76491
