#worker	chunk	tc(ms)	std(ms)	min(ms)	max(ms)
1	1000	526001.6666666666	5256.535635652905	519502	532376
4	1000	82744.66666666667	1366.2496924875124	81326	84590
8	1000	58105.666666666664	2158.044536663278	55103	60080
12	1000	56250.0	2394.000974658671	53550	59369
16	1000	56731.666666666664	2298.1059350884784	53844	59467
20	1000	60642.666666666664	1941.0027191005056	57908	62216
24	1000	58805.0	2591.1646030308457	55860	62166
28	1000	61992.333333333336	2699.8274430456145	58671	65284
32	1000	58616.666666666664	2105.1350444937148	55678	60499
36	1000	58332.333333333336	2294.354278561956	56696	61577
40	1000	62720.666666666664	3374.0895397458294	58083	66012
44	1000	60003.333333333336	1962.0707315373613	57737	62523
48	1000	59703.0	2233.0993409758257	58053	62860
